p_val	avg_logFC	pct.1	pct.2	p_val_adj	CellType	Gene
0	1.60115944	0.548	0.037	0	Fibro	MXRA5
0	1.562088062	0.477	0.01	0	Fibro	CPXM1
0	1.559831395	0.557	0.029	0	Fibro	MRC2
0	1.54887664	0.694	0.058	0	Fibro	PRRX1
0	1.548270874	0.617	0.032	0	Fibro	TWIST1
0	1.545900114	0.493	0.009	0	Fibro	SPON1
0	1.542144076	0.474	0.035	0	Fibro	APOD
0	1.526822642	0.571	0.028	0	Fibro	FMOD
0	1.525536069	0.536	0.044	0	Fibro	CXCL12
0	1.503888542	0.745	0.108	0	Fibro	SERPING1
0	1.502465269	0.65	0.078	0	Fibro	FN1
0	1.49676925	0.525	0.019	0	Fibro	ISLR
0	1.485567931	0.619	0.063	0	Fibro	CYBRD1
0	1.472946295	0.58	0.049	0	Fibro	SLIT3
0	1.462071047	0.529	0.044	0	Fibro	COL14A1
0	1.438758794	0.497	0.031	0	Fibro	COL16A1
0	1.436571129	0.525	0.019	0	Fibro	CDH11
0	1.428418638	0.439	0.056	0	Fibro	IGFBP5
0	1.42554894	0.395	0.008	0	Fibro	GREM1
0	1.419032311	0.507	0.033	0	Fibro	RARRES2
0	1.408208938	0.596	0.049	0	Fibro	PDGFRB
0	1.402497315	0.515	0.015	0	Fibro	LPAR1
0	1.393988182	0.562	0.051	0	Fibro	FGFR1
0	1.392477818	0.712	0.107	0	Fibro	NNMT
0	1.386054187	0.496	0.012	0	Fibro	BICC1
0	1.380891902	0.401	0.021	0	Fibro	PTGDS
0	1.378244985	0.392	0.02	0	Fibro	DIO2
0	1.37327434	0.437	0.027	0	Fibro	ANK2
0	1.368938582	0.319	0.007	0	Fibro	MFAP5
0	1.360064389	0.574	0.07	0	Fibro	ANTXR1
0	1.356980695	0.411	0.007	0	Fibro	FAP
0	1.356457724	0.233	0.009	0	Fibro	PI16
0	1.354736409	0.535	0.054	0	Fibro	ANGPTL2
0	1.352831593	0.317	0.01	0	Fibro	WISP2
0	1.340249624	0.474	0.023	0	Fibro	RCN3
0	1.333125898	0.424	0.013	0	Fibro	ADAMTS2
0	1.326629093	0.507	0.046	0	Fibro	LTBP1
0	1.322174885	0.609	0.082	0	Fibro	GEM
0	1.321074147	0.394	0.035	0	Fibro	TNC
0	1.308465295	0.678	0.111	0	Fibro	PPAP2B
0	1.304372503	0.582	0.073	0	Fibro	PAM
0	1.30233245	0.71	0.172	0	Fibro	CXCL14
0	1.300692318	0.377	0.007	0	Fibro	LRRC15
0	1.298348303	0.484	0.02	0	Fibro	FBLN5
0	1.296140115	0.471	0.021	0	Fibro	ECM2
0	1.295115043	0.475	0.035	0	Fibro	VASN
0	1.294499838	0.496	0.062	0	Fibro	SLC39A14
0	1.291875641	0.899	0.243	0	Fibro	SPARC
0	1.27747995	0.572	0.067	0	Fibro	CRISPLD2
0	1.26923634	0.351	0.043	0	Fibro	MEDAG
0	1.243757446	0.505	0.068	0	Fibro	BGN
0	1.238042305	0.536	0.09	0	Fibro	ITGB5
0	1.232827892	0.556	0.089	0	Fibro	MMP14
0	1.229695527	0.664	0.124	0	Fibro	IGFBP4
0	1.224395337	0.418	0.019	0	Fibro	CD248
0	1.220366159	0.348	0.018	0	Fibro	PRELP
0	1.217983572	0.459	0.025	0	Fibro	EFEMP2
0	1.21236359	0.39	0.022	0	Fibro	GAS1
0	1.21186535	0.412	0.02	0	Fibro	VGLL3
0	1.207040028	0.452	0.087	0	Fibro	APCDD1
0	1.197502454	0.386	0.038	0	Fibro	CTHRC1
0	1.189060726	0.404	0.007	0	Fibro	CLMP
0	1.180290657	0.439	0.03	0	Fibro	COLEC12
0	1.173147461	0.438	0.026	0	Fibro	EMILIN1
0	1.162562741	0.362	0.014	0	Fibro	NEGR1
0	1.158826249	0.313	0.007	0	Fibro	MASP1
0	1.150363018	0.583	0.143	0	Fibro	CYR61
0	1.150134708	0.35	0.009	0	Fibro	PDGFRL
0	1.146497712	0.281	0.033	0	Fibro	CXCL1
0	1.144587154	0.38	0.017	0	Fibro	ADAM33
0	1.143555934	0.471	0.046	0	Fibro	DDR2
0	1.142982208	0.259	0.005	0	Fibro	CILP
0	1.132266051	0.36	0.017	0	Fibro	CERCAM
0	1.132103745	0.606	0.104	0	Fibro	SELM
0	1.131213612	0.224	0.007	0	Fibro	SCARA5
0	1.125087834	0.47	0.045	0	Fibro	TMEM176B
0	1.124825341	0.346	0.018	0	Fibro	HMCN1
0	1.122586748	0.31	0.007	0	Fibro	ITGBL1
0	1.12258659	0.412	0.041	0	Fibro	SOD3
0	1.12246904	0.374	0.023	0	Fibro	HAS2
0	1.115069185	0.346	0.018	0	Fibro	F10
0	1.114223707	0.414	0.029	0	Fibro	FKBP10
0	1.113402809	0.162	0.005	0	Fibro	COMP
0	1.108957584	0.499	0.07	0	Fibro	DPYSL3
0	1.105846468	0.519	0.112	0	Fibro	THBS1
0	1.101639265	0.215	0.012	0	Fibro	ADH1B
0	1.095563682	0.5	0.064	0	Fibro	NID1
0	1.095209917	0.345	0.01	0	Fibro	TMEM119
0	1.094716097	0.519	0.109	0	Fibro	FRMD6
0	1.091374312	0.587	0.125	0	Fibro	LAMB2
0	1.087960129	0.506	0.067	0	Fibro	SDC2
0	1.083156307	0.625	0.161	0	Fibro	CALU
0	1.077342182	0.397	0.05	0	Fibro	EFEMP1
0	1.072556964	0.539	0.102	0	Fibro	LAMA4
0	1.068055424	0.33	0.017	0	Fibro	DCLK1
0	1.067704329	0.381	0.034	0	Fibro	PDPN
0	1.066090625	0.257	0.006	0	Fibro	SVEP1
0	1.061228271	0.517	0.085	0	Fibro	DAB2
0	1.055950605	0.284	0.014	0	Fibro	GFRA1
0	1.054536679	0.243	0.006	0	Fibro	ANGPTL1
0	1.053164077	0.386	0.041	0	Fibro	PLAC9
0	1.049760979	0.575	0.177	0	Fibro	SEPP1
0	1.047230035	0.256	0.021	0	Fibro	ASPN
0	1.041028076	0.217	0.004	0	Fibro	COL11A1
0	1.040473439	0.268	0.007	0	Fibro	LAMC3
0	1.035923745	0.455	0.099	0	Fibro	CXCL2
0	1.028676577	0.431	0.046	0	Fibro	ZCCHC24
0	1.027630258	0.205	0.004	0	Fibro	MMP11
0	1.02547034	0.249	0.009	0	Fibro	CP
0	1.017744186	0.298	0.013	0	Fibro	FGF7
0	1.015153599	0.266	0.007	0	Fibro	DKK2
0	1.01446103	0.377	0.024	0	Fibro	NFATC4
0	1.009782315	0.312	0.034	0	Fibro	SERPINE2
0	1.009207068	0.284	0.01	0	Fibro	SLIT2
0	1.004925723	0.308	0.01	0	Fibro	PODN
0	1.004156446	0.339	0.041	0	Fibro	INHBA
0	0.996112974	0.3	0.009	0	Fibro	OSR2
0	0.992970048	0.259	0.008	0	Fibro	PAPPA
0	0.99292101	0.287	0.003	0	Fibro	OMD
0	0.991922164	0.33	0.027	0	Fibro	PTK7
0	0.990904729	0.35	0.047	0	Fibro	MDK
0	0.990537317	0.565	0.128	0	Fibro	LAMB1
0	0.983058723	0.305	0.011	0	Fibro	MME
0	0.982891452	0.605	0.138	0	Fibro	PMP22
0	0.981232501	0.289	0.006	0	Fibro	HTRA3
0	0.980721014	0.597	0.18	0	Fibro	CEBPB
0	0.978543656	0.185	0.005	0	Fibro	COL6A5
0	0.97793177	0.45	0.069	0	Fibro	GPR124
0	0.97373901	0.276	0.019	0	Fibro	FST
0	0.971013372	0.312	0.023	0	Fibro	SPON2
0	0.969793747	0.421	0.073	0	Fibro	FHL1
0	0.963278054	0.341	0.038	0	Fibro	ABI3BP
0	0.961905283	0.226	0.013	0	Fibro	MEG3
0	0.960954784	0.261	0.004	0	Fibro	PTGFR
0	0.959662221	0.478	0.101	0	Fibro	C11orf96
0	0.953273835	0.379	0.033	0	Fibro	TMEM176A
0	0.951984261	0.647	0.231	0	Fibro	GSN
0	0.951933604	0.261	0.026	0	Fibro	F13A1
0	0.948844732	0.575	0.151	0	Fibro	SERPINH1
0	0.944295695	0.523	0.112	0	Fibro	MAN1A1
0	0.940675191	0.231	0.003	0	Fibro	COL6A6
0	0.937710585	0.743	0.235	0	Fibro	LGALS1
0	0.936505327	0.336	0.015	0	Fibro	SRPX
0	0.934813251	0.337	0.023	0	Fibro	CLEC11A
0	0.931572406	0.284	0.005	0	Fibro	CREB3L1
0	0.929865771	0.451	0.097	0	Fibro	CTGF
0	0.926787721	0.229	0.022	0	Fibro	ELN
0	0.926034344	0.315	0.027	0	Fibro	ADAMTS5
0	0.925765053	0.334	0.066	0	Fibro	PTGES
0	0.925212338	0.321	0.018	0	Fibro	LOXL1
0	0.923870435	0.206	0.007	0	Fibro	ABCA8
0	0.922370926	0.445	0.093	0	Fibro	SH3PXD2A
0	0.922085843	0.343	0.02	0	Fibro	GPX8
0	0.921420484	0.551	0.126	0	Fibro	LAMC1
0	0.919700039	0.405	0.064	0	Fibro	ABL1
0	0.916604432	0.439	0.082	0	Fibro	FAM114A1
0	0.913679958	0.327	0.031	0	Fibro	OLFML2B
0	0.91126188	0.349	0.053	0	Fibro	P4HA2
0	0.90935428	0.276	0.023	0	Fibro	PTN
0	0.908707584	0.32	0.022	0	Fibro	ECM1
0	0.907251749	0.285	0.016	0	Fibro	LSAMP
0	0.904979091	0.285	0.022	0	Fibro	PLEKHH2
0	0.902245074	0.233	0.021	0	Fibro	TNXB
0	0.89950179	0.215	0.007	0	Fibro	ROBO2
0	0.898913736	0.284	0.024	0	Fibro	PLXDC1
0	0.896798483	0.405	0.097	0	Fibro	TNFAIP2
0	0.896346709	0.378	0.056	0	Fibro	COPZ2
0	0.890166871	0.327	0.018	0	Fibro	GLT8D2
0	0.888807061	0.34	0.067	0	Fibro	LTBP4
0	0.888674691	0.269	0.048	0	Fibro	ITIH5
0	0.888016511	0.298	0.027	0	Fibro	VSTM4
0	0.887304873	0.243	0.021	0	Fibro	WNT5A
0	0.886703045	0.477	0.104	0	Fibro	FNDC3B
0	0.880182083	0.295	0.013	0	Fibro	SGCD
0	0.8751057	0.232	0.007	0	Fibro	PTGIS
0	0.874707301	0.416	0.094	0	Fibro	CTSL
0	0.874363371	0.389	0.06	0	Fibro	RUNX1
0	0.870354536	0.263	0.02	0	Fibro	SNED1
0	0.869159438	0.502	0.149	0	Fibro	COL18A1
0	0.868900719	0.318	0.021	0	Fibro	TPST1
0	0.867622044	0.222	0.023	0	Fibro	ADAM12
0	0.861888902	0.302	0.023	0	Fibro	RECK
0	0.861753247	0.316	0.026	0	Fibro	SSPN
0	0.861217337	0.332	0.04	0	Fibro	LEPRE1
0	0.856870419	0.355	0.039	0	Fibro	ANPEP
0	0.856193303	0.272	0.016	0	Fibro	FAM20A
0	0.852640782	0.439	0.131	0	Fibro	NFIX
0	0.85160258	0.243	0.003	0	Fibro	FIBIN
0	0.849941853	0.249	0.006	0	Fibro	RP11-166D19.1
0	0.848862741	0.23	0.02	0	Fibro	IGFBP6
0	0.84819985	0.272	0.028	0	Fibro	LTBP2
0	0.847597147	0.384	0.09	0	Fibro	LGALS3BP
0	0.846761986	0.346	0.029	0	Fibro	NDN
0	0.839405892	0.302	0.027	0	Fibro	IL11RA
0	0.835880324	0.458	0.138	0	Fibro	FAM46A
0	0.832384141	0.396	0.081	0	Fibro	GAS7
0	0.831654711	0.209	0.007	0	Fibro	GPC3
0	0.830845832	0.213	0.04	0	Fibro	LEPR
0	0.830560489	0.579	0.152	0	Fibro	TIMP1
0	0.82786293	0.363	0.061	0	Fibro	CD276
0	0.82728597	0.217	0.005	0	Fibro	CORIN
0	0.825696068	0.23	0.005	0	Fibro	CCBE1
0	0.825596509	0.207	0.018	0	Fibro	MAMDC2
0	0.82398161	0.288	0.023	0	Fibro	PCDH18
0	0.821949473	0.346	0.043	0	Fibro	GOLM1
0	0.821568221	0.37	0.07	0	Fibro	C1QTNF5
0	0.820490982	0.711	0.273	0	Fibro	ANXA5
0	0.819715658	0.394	0.094	0	Fibro	MAGED1
0	0.819701141	0.198	0.005	0	Fibro	AOX1
0	0.819605512	0.424	0.099	0	Fibro	C1orf198
0	0.819294625	0.361	0.059	0	Fibro	RASSF8
0	0.818833541	0.251	0.012	0	Fibro	GFPT2
0	0.818752616	0.196	0.019	0	Fibro	IGF1
0	0.818279012	0.162	0.005	0	Fibro	STMN2
0	0.813549727	0.707	0.219	0	Fibro	CALD1
0	0.812618299	0.28	0.028	0	Fibro	MSC
0	0.812322257	0.267	0.006	0	Fibro	GXYLT2
0	0.809905513	0.26	0.012	0	Fibro	OLFML1
0	0.809403841	0.213	0.004	0	Fibro	F2RL2
0	0.806892704	0.391	0.13	0	Fibro	MGP
0	0.806011312	0.236	0.006	0	Fibro	SSC5D
0	0.805005599	0.323	0.042	0	Fibro	AXL
0	0.804328176	0.349	0.057	0	Fibro	CTSF
0	0.802318602	0.376	0.114	0	Fibro	F2R
0	0.801016516	0.276	0.015	0	Fibro	SCARF2
0	0.797931223	0.204	0.009	0	Fibro	LRRC17
0	0.797754809	0.39	0.078	0	Fibro	CXXC5
0	0.795811569	0.234	0.037	0	Fibro	EDIL3
0	0.794532154	0.355	0.066	0	Fibro	CPE
0	0.794266031	0.294	0.049	0	Fibro	SMOC2
0	0.794230048	0.443	0.131	0	Fibro	ID3
0	0.791485526	0.348	0.059	0	Fibro	RHOBTB3
0	0.789150578	0.263	0.04	0	Fibro	SEMA5A
0	0.786602405	0.276	0.023	0	Fibro	PDZRN3
0	0.78640049	0.241	0.016	0	Fibro	ISM1
0	0.785689182	0.398	0.075	0	Fibro	RCN1
0	0.78552865	0.274	0.059	0	Fibro	SFRP1
0	0.78244544	0.355	0.068	0	Fibro	PLOD1
0	0.782207105	0.314	0.05	0	Fibro	CYP7B1
0	0.780588713	0.398	0.092	0	Fibro	FKBP9
0	0.780189389	0.292	0.032	0	Fibro	GPX7
0	0.779437246	0.212	0.004	0	Fibro	ITGA11
0	0.779071215	0.302	0.053	0	Fibro	BOC
0	0.77554969	0.356	0.067	0	Fibro	LHFPL2
0	0.775226667	0.137	0.01	0	Fibro	PLA2G2A
0	0.774251712	0.236	0.021	0	Fibro	PRSS12
0	0.773635413	0.314	0.062	0	Fibro	RGS3
0	0.773410365	0.202	0.012	0	Fibro	ABCA6
0	0.772635592	0.393	0.147	0	Fibro	ADM
0	0.772360349	0.31	0.026	0	Fibro	TMEM98
0	0.7715151	0.288	0.046	0	Fibro	MEGF6
0	0.771252189	0.287	0.037	0	Fibro	GLI3
0	0.771051201	0.302	0.065	0	Fibro	CXCL3
0	0.770643832	0.744	0.327	0	Fibro	CD81
0	0.76930841	0.29	0.025	0	Fibro	MMP19
0	0.76800808	0.443	0.129	0	Fibro	PMEPA1
0	0.767818473	0.235	0.014	0	Fibro	ADAMTS12
0	0.767223189	0.786	0.322	0	Fibro	CD63
0	0.767105015	0.31	0.044	0	Fibro	VCAM1
0	0.766623618	0.46	0.146	0	Fibro	KDELR2
0	0.766398296	0.267	0.035	0	Fibro	PSD3
0	0.764864674	0.425	0.111	0	Fibro	RBFOX2
0	0.764797837	0.271	0.019	0	Fibro	GPR176
0	0.764179603	0.195	0.004	0	Fibro	FAM180A
0	0.761047768	0.238	0.012	0	Fibro	C1QTNF6
0	0.760930652	0.299	0.038	0	Fibro	BMP1
0	0.757182985	0.348	0.072	0	Fibro	BACE1
0	0.757076157	0.566	0.214	0	Fibro	RND3
0	0.753185267	0.172	0.002	0	Fibro	OGN
0	0.751624373	0.321	0.063	0	Fibro	TSKU
0	0.749484796	0.217	0.038	0	Fibro	GPRC5A
0	0.748960234	0.347	0.085	0	Fibro	PPIC
0	0.746951091	0.277	0.042	0	Fibro	MAP1A
0	0.745682459	0.274	0.073	0	Fibro	CYP1B1
0	0.744114921	0.298	0.03	0	Fibro	PRRX2
0	0.742979722	0.372	0.074	0	Fibro	PARVA
0	0.740897869	0.244	0.022	0	Fibro	COL8A2
0	0.740836687	0.589	0.223	0	Fibro	GPNMB
0	0.740470958	0.524	0.18	0	Fibro	ASPH
0	0.739879173	0.776	0.297	0	Fibro	PTRF
0	0.738512256	0.276	0.038	0	Fibro	LOXL2
0	0.736230265	0.449	0.189	0	Fibro	APOE
0	0.736144483	0.501	0.156	0	Fibro	IL1R1
0	0.733322829	0.444	0.173	0	Fibro	MAFB
0	0.733061317	0.359	0.087	0	Fibro	SNAI2
0	0.732376871	0.187	0.007	0	Fibro	SPOCK1
0	0.732352984	0.256	0.026	0	Fibro	DSEL
0	0.732122215	0.174	0.017	0	Fibro	PTX3
0	0.732059009	0.371	0.105	0	Fibro	UAP1
0	0.731251499	0.622	0.216	0	Fibro	TCF4
0	0.731118406	0.241	0.009	0	Fibro	ROR2
0	0.730145141	0.336	0.052	0	Fibro	CPQ
0	0.728617004	0.512	0.156	0	Fibro	CRTAP
0	0.728580002	0.228	0.01	0	Fibro	DNM1
0	0.726356696	0.354	0.067	0	Fibro	SMARCA1
0	0.725953346	0.234	0.028	0	Fibro	PCSK5
0	0.72475436	0.213	0.005	0	Fibro	GALNT5
0	0.723587987	0.193	0.014	0	Fibro	LRRN4CL
0	0.722242117	0.259	0.03	0	Fibro	RUNX1T1
0	0.720938258	0.331	0.089	0	Fibro	KREMEN1
0	0.719411323	0.39	0.096	0	Fibro	PPAP2A
0	0.719283779	0.224	0.013	0	Fibro	NKD2
0	0.716500038	0.229	0.003	0	Fibro	TWIST2
0	0.716461658	0.261	0.036	0	Fibro	SH3PXD2B
0	0.716001245	0.29	0.038	0	Fibro	KIRREL
0	0.713551732	0.234	0.031	0	Fibro	FAT4
0	0.713281967	0.415	0.094	0	Fibro	LHFP
0	0.713218041	0.235	0.014	0	Fibro	CHRD
0	0.712436688	0.257	0.017	0	Fibro	KDELR3
0	0.710861906	0.282	0.046	0	Fibro	RBMS3
0	0.710348568	0.198	0.011	0	Fibro	EMID1
0	0.71014245	0.255	0.042	0	Fibro	TBX3
0	0.706447123	0.235	0.02	0	Fibro	NID2
0	0.706165905	0.41	0.098	0	Fibro	RAB34
0	0.705934863	0.435	0.135	0	Fibro	SPATS2L
0	0.705572564	0.428	0.103	0	Fibro	BASP1
0	0.704923638	0.248	0.059	0	Fibro	NTRK2
0	0.702422968	0.249	0.043	0	Fibro	CNTN1
0	0.700749878	0.251	0.03	0	Fibro	LEPREL4
0	0.697739598	0.176	0.004	0	Fibro	PCOLCE2
0	0.697438967	0.446	0.181	0	Fibro	NBL1
0	0.69597905	0.407	0.124	0	Fibro	MPZL1
0	0.693718331	0.467	0.194	0	Fibro	CKAP4
0	0.693314602	0.15	0.021	0	Fibro	CHRDL1
0	0.690953704	0.384	0.099	0	Fibro	EPB41L2
0	0.690696688	0.281	0.042	0	Fibro	NT5E
0	0.690338082	0.237	0.016	0	Fibro	TBX15
0	0.690052937	0.258	0.042	0	Fibro	PARD3B
0	0.689832978	0.374	0.09	0	Fibro	FUCA2
0	0.689607532	0.506	0.188	0	Fibro	PGRMC1
0	0.689189884	0.263	0.031	0	Fibro	MOXD1
0	0.687744469	0.257	0.025	0	Fibro	TSHZ3
0	0.686380797	0.464	0.14	0	Fibro	11-Sep
0	0.686322845	0.37	0.106	0	Fibro	ABL2
0	0.685059342	0.458	0.13	0	Fibro	FERMT2
0	0.684005021	0.238	0.022	0	Fibro	PID1
0	0.683819067	0.288	0.052	0	Fibro	C16orf45
0	0.683279477	0.242	0.061	0	Fibro	SEMA3C
0	0.682966559	0.267	0.044	0	Fibro	FAM134B
0	0.680385571	0.292	0.039	0	Fibro	MARVELD1
0	0.679652881	0.721	0.327	0	Fibro	SOD2
0	0.679508064	0.445	0.14	0	Fibro	RAB31
0	0.679293085	0.299	0.052	0	Fibro	GUCY1A3
0	0.678643213	0.34	0.069	0	Fibro	TWSG1
0	0.67729596	0.289	0.047	0	Fibro	FKBP14
0	0.677268474	0.169	0.005	0	Fibro	IGSF10
0	0.676525744	0.338	0.062	0	Fibro	JAM3
0	0.676349923	0.265	0.035	0	Fibro	FARP1
0	0.675055272	0.168	0.009	0	Fibro	COL8A1
0	0.6745053	0.177	0.014	0	Fibro	GLDN
0	0.673847745	0.204	0.007	0	Fibro	FAM65C
0	0.673755504	0.468	0.191	0	Fibro	WTAP
0	0.67295055	0.653	0.313	0	Fibro	CEBPD
0	0.670583271	0.544	0.189	0	Fibro	KLF9
0	0.667817808	0.196	0.024	0	Fibro	CYP26B1
0	0.666993243	0.217	0.008	0	Fibro	STEAP2
0	0.665444077	0.289	0.073	0	Fibro	PBX1
0	0.663442779	0.223	0.016	0	Fibro	C2
0	0.663133834	0.42	0.115	0	Fibro	PRKCDBP
0	0.662916065	0.331	0.086	0	Fibro	PLTP
0	0.66265231	0.424	0.134	0	Fibro	MAP1B
0	0.66258545	0.424	0.114	0	Fibro	NRP1
0	0.661215665	0.545	0.226	0	Fibro	SEC31A
0	0.661179987	0.361	0.097	0	Fibro	PXDN
0	0.65933974	0.296	0.092	0	Fibro	METTL7A
0	0.656327071	0.286	0.062	0	Fibro	MYH10
0	0.655388437	0.602	0.253	0	Fibro	CD99
0	0.65435244	0.262	0.031	0	Fibro	LARP6
0	0.654307834	0.26	0.055	0	Fibro	GGT5
0	0.652844762	0.272	0.044	0	Fibro	TRAM2
0	0.651992354	0.65	0.315	0	Fibro	HDLBP
0	0.650693822	0.339	0.086	0	Fibro	LATS2
0	0.65019008	0.654	0.301	0	Fibro	CST3
0	0.649474878	0.209	0.027	0	Fibro	CDON
0	0.647240456	0.475	0.16	0	Fibro	GLG1
0	0.647161772	0.178	0.015	0	Fibro	PDGFD
0	0.645752743	0.574	0.237	0	Fibro	RRBP1
0	0.645022594	0.64	0.296	0	Fibro	LAPTM4A
0	0.644317729	0.187	0.026	0	Fibro	CGNL1
0	0.642349788	0.276	0.055	0	Fibro	PLAGL1
0	0.641608627	0.37	0.121	0	Fibro	PRSS23
0	0.640773971	0.286	0.069	0	Fibro	SAMD4A
0	0.640148653	0.361	0.1	0	Fibro	S100A13
0	0.640072638	0.346	0.067	0	Fibro	CTSO
0	0.638614206	0.313	0.092	0	Fibro	SH3D19
0	0.638513465	0.295	0.07	0	Fibro	ZBTB20
0	0.637440866	0.161	0.002	0	Fibro	FNDC1
0	0.634004077	0.387	0.111	0	Fibro	PXDC1
0	0.632454721	0.236	0.047	0	Fibro	ACKR3
0	0.631383899	0.285	0.087	0	Fibro	CRYAB
0	0.631159761	0.221	0.008	0	Fibro	SLC2A10
0	0.630953742	0.468	0.157	0	Fibro	CNN3
0	0.629156853	0.229	0.016	0	Fibro	CDK14
0	0.629022229	0.237	0.036	0	Fibro	THBS3
0	0.628148752	0.302	0.071	0	Fibro	PEAK1
0	0.626276346	0.288	0.085	0	Fibro	KIAA0930
0	0.626040538	0.145	0.005	0	Fibro	ABCA9
0	0.622063789	0.23	0.036	0	Fibro	KHDRBS3
0	0.621913317	0.19	0.012	0	Fibro	RSPO3
0	0.620683573	0.143	0.005	0	Fibro	DIRAS3
0	0.620596404	0.254	0.023	0	Fibro	SGCE
0	0.620445664	0.204	0.006	0	Fibro	STEAP1
0	0.620298493	0.303	0.062	0	Fibro	KANK2
0	0.618363902	0.218	0.022	0	Fibro	CPED1
0	0.617731618	0.234	0.039	0	Fibro	PTPRS
0	0.617684682	0.292	0.081	0	Fibro	SPSB1
0	0.617660408	0.189	0.014	0	Fibro	SDK1
0	0.616281337	0.291	0.071	0	Fibro	ENPP2
0	0.614503096	0.209	0.012	0	Fibro	ALDH1L2
0	0.6137155	0.23	0.036	0	Fibro	PLA2R1
0	0.613692791	0.34	0.117	0	Fibro	GAS6
0	0.613092667	0.267	0.045	0	Fibro	WIPI1
0	0.61235882	0.207	0.033	0	Fibro	BMP4
0	0.611551061	0.268	0.051	0	Fibro	JDP2
0	0.611426167	0.175	0.028	0	Fibro	CADM3
0	0.608257467	0.294	0.057	0	Fibro	SGCB
0	0.607998334	0.854	0.472	0	Fibro	PSAP
0	0.607433691	0.251	0.029	0	Fibro	MRGPRF
0	0.607394269	0.615	0.265	0	Fibro	EID1
0	0.60637581	0.175	0.002	0	Fibro	WISP1
0	0.602190268	0.319	0.09	0	Fibro	H6PD
0	0.602152149	0.226	0.027	0	Fibro	DAAM2
0	0.601928821	0.178	0.008	0	Fibro	NTN1
0	0.598646294	0.299	0.091	0	Fibro	ROBO1
0	0.59855518	0.421	0.149	0	Fibro	ADD3
0	0.598501233	0.281	0.062	0	Fibro	PTPRG
0	0.596117961	0.312	0.097	0	Fibro	PTGFRN
0	0.593331269	0.252	0.053	0	Fibro	ITSN1
0	0.593226408	0.325	0.094	0	Fibro	TEAD1
0	0.59319294	0.322	0.09	0	Fibro	LRIG1
0	0.592312901	0.227	0.057	0	Fibro	DPP4
0	0.592076554	0.297	0.094	0	Fibro	PTGS2
0	0.591418788	0.351	0.082	0	Fibro	C12orf23
0	0.58854657	0.166	0.014	0	Fibro	TSPAN11
0	0.587420445	0.291	0.059	0	Fibro	CD302
0	0.587286706	0.302	0.066	0	Fibro	KDELC2
0	0.586646282	0.479	0.2	0	Fibro	TTC3
0	0.586612399	0.466	0.196	0	Fibro	PALLD
0	0.585367881	0.376	0.137	0	Fibro	REV3L
0	0.584535973	0.287	0.092	0	Fibro	NOTCH2
0	0.58280602	0.313	0.133	0	Fibro	NFIA
0	0.582597984	0.307	0.062	0	Fibro	EVA1B
